CensusNo,School,Gender,IndexNo,Buddhism,Saivaneri,Catholicism,Christianity,Islam,Sinhala Language & Litt.,Tamil Language & Litt.,English Language,Mathematics,History,Science,Music (Oriental),Music (Western),Music (Carnatic),Art,Dancing (Oriental),Dancing (Bharatha),Appreciation of English Literary Texts,Appreciation of Sinhala Literary Texts,Appreciation of Tamil Literary Texts,Appreciation of Arabic Literary Texts,Drama & Theatre (Sinhala),Drama & Theatre (Tamil),Drama & Theatre (English),Business and Accounting Studies,Geography,Civic Education,Entrepreneurship Education,Second Language (Sinhala),Second Language (Tamil),Pali,Sanskrit,French,German,Hindi,Japanese,Arabic,Korean,Chinese,Russian,Infor. & Comm. Technology,Agriculture & Food Technology,Aquatic Bio. Technology,Arts & Crafts,Home Economics,Health & Physical Education,Communication & Media Studies,Design & Con. Technology,Design & Mec. Technology,Design & Elec. & Elec.  Technology,Electronic Writing & Shorthand (Sinhala),Electronic Writing & Shorthand (Tamil),Electronic Writing & Shorthand (English)
24031,St Joseph's,M,71978283,A,,,,,B,,B,B,B,C,,,,,C,,,,,,,,,,C,,,,,,,,,,,,,,,B,,,,,,,,,,,,
24032,St Joseph's,M,71978372,A,,,,,B,,S,A,C,C,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,A,,,,,,,,,,,,
